name,title,level,facing,categories,description,detail,remediation,metadata,cache_key
function_search_path_mutable,Function Search Path Mutable,WARN,EXTERNAL,"[""SECURITY""]",Detects functions where the search_path parameter is not set.,Function \`public.is_admin\` has a role mutable search_path,https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable,"{""name"":""is_admin"",""type"":""function"",""schema"":""public""}",function_search_path_mutable_public_is_admin_a5c7c70fe1d7afe809d170933727c8ea
function_search_path_mutable,Function Search Path Mutable,WARN,EXTERNAL,"[""SECURITY""]",Detects functions where the search_path parameter is not set.,Function \`public.check_bill_follow_badges\` has a role mutable search_path,https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable,"{""name"":""check_bill_follow_badges"",""type"":""function"",""schema"":""public""}",function_search_path_mutable_public_check_bill_follow_badges_7241915c5fa600cdaaa8110a0589b95f
function_search_path_mutable,Function Search Path Mutable,WARN,EXTERNAL,"[""SECURITY""]",Detects functions where the search_path parameter is not set.,Function \`public.check_memo_signature_badges\` has a role mutable search_path,https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable,"{""name"":""check_memo_signature_badges"",""type"":""function"",""schema"":""public""}",function_search_path_mutable_public_check_memo_signature_badges_c9a8d3c63c0bf8ba3f1e258b240645ad
function_search_path_mutable,Function Search Path Mutable,WARN,EXTERNAL,"[""SECURITY""]",Detects functions where the search_path parameter is not set.,Function \`public.check_discussion_start_badges\` has a role mutable search_path,https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable,"{""name"":""check_discussion_start_badges"",""type"":""function"",""schema"":""public""}",function_search_path_mutable_public_check_discussion_start_badges_3d6b80a97d57507d0d96c3c0aba6619a
function_search_path_mutable,Function Search Path Mutable,WARN,EXTERNAL,"[""SECURITY""]",Detects functions where the search_path parameter is not set.,Function \`public.check_reply_badges\` has a role mutable search_path,https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable,"{""name"":""check_reply_badges"",""type"":""function"",""schema"":""public""}",function_search_path_mutable_public_check_reply_badges_ac6e5f63e26b46f0b1a41092248c7f4f
function_search_path_mutable,Function Search Path Mutable,WARN,EXTERNAL,"[""SECURITY""]",Detects functions where the search_path parameter is not set.,Function \`public.classify_report\` has a role mutable search_path,https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable,"{""name"":""classify_report"",""type"":""function"",""schema"":""public""}",function_search_path_mutable_public_classify_report_1a56d1c424d1a01c3680105a665ea511
function_search_path_mutable,Function Search Path Mutable,WARN,EXTERNAL,"[""SECURITY""]",Detects functions where the search_path parameter is not set.,Function \`public.update_modified_column\` has a role mutable search_path,https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable,"{""name"":""update_modified_column"",""type"":""function"",""schema"":""public""}",function_search_path_mutable_public_update_modified_column_10ff09e0d1433006b865e7959e736c46
function_search_path_mutable,Function Search Path Mutable,WARN,EXTERNAL,"[""SECURITY""]",Detects functions where the search_path parameter is not set.,Function \`public.get_public_stats\` has a role mutable search_path,https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable,"{""name"":""get_public_stats"",""type"":""function"",""schema"":""public""}",function_search_path_mutable_public_get_public_stats_34f23dc9640f9bb4d1caa1df0816a779
function_search_path_mutable,Function Search Path Mutable,WARN,EXTERNAL,"[""SECURITY""]",Detects functions where the search_path parameter is not set.,Function \`public.handle_updated_at\` has a role mutable search_path,https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable,"{""name"":""handle_updated_at"",""type"":""function"",""schema"":""public""}",function_search_path_mutable_public_handle_updated_at_749d6e72e457701152e365704cde3807
function_search_path_mutable,Function Search Path Mutable,WARN,EXTERNAL,"[""SECURITY""]",Detects functions where the search_path parameter is not set.,Function \`public.hash_report_ip\` has a role mutable search_path,https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable,"{""name"":""hash_report_ip"",""type"":""function"",""schema"":""public""}",function_search_path_mutable_public_hash_report_ip_45a2307f9e424b7a607e0e3fa7c610e4
